id,name,Geburtsdatum,gnd,pmb_id
wr-person-0283,"Achelis, Thomas",,https://d-nb.info/gnd/116005041,261136
wr-person-0074,"Aho, Juhani",1861-09-11,https://d-nb.info/gnd/118846329,299886
wr-person-0148,"Albert, Henri",1869,https://d-nb.info/gnd/118817477,2801
wr-person-0004,"Altenberg, Peter",1859-03-09,https://d-nb.info/gnd/118502255,2147
wr-person-0056,"Althof, Paul",1869,https://d-nb.info/gnd/1164385046,299890
wr-person-0316,"Appia, Adolphe",1862-09-01,https://d-nb.info/gnd/118503731,150692
wr-person-0159,"Arjuna, Harold",1856,https://d-nb.info/gnd/1129197565,299891
wr-person-0208,"Asenijeff, Elsa",1867-01-03,https://d-nb.info/gnd/118973088,159171
wr-person-0079,"Auernheimer, Raoul",1876-04-15,https://d-nb.info/gnd/118505033,10788
wr-person-0267,"Barbey d'Aurevilly, Jules Amédée",1808-11-02,https://d-nb.info/gnd/118506498,4266
wr-person-0030,"Barrès, Maurice",1862-08-19,https://d-nb.info/gnd/118506684,3892
wr-person-0073,"Basedow, Hans von",,https://d-nb.info/gnd/116076267,299892
wr-person-0034,"Baudelaire, Charles",1821-04-09,https://d-nb.info/gnd/118507184,4950
wr-person-0295,"Beardsley, Aubrey",1872-08-21,https://d-nb.info/gnd/118507826,13870
wr-person-0084,"Benzmann, Hans",1869-09-27,https://d-nb.info/gnd/119059355,113406
wr-person-0078,"Björnson, Björnstjerne",,https://d-nb.info/gnd/118511459,2400
wr-person-0093,"Bleibtreu, Carl",1859-01-13,https://d-nb.info/gnd/118663909,14281
wr-person-0168,"Bleibtreu, Carl",1859-01-13,https://d-nb.info/gnd/118663909,14281
wr-person-0194,"Bliß, Paul",1861-03-03,https://d-nb.info/gnd/116202106,299893
wr-person-0067,"Bodman, Emanuel von",1874-01-23,https://d-nb.info/gnd/118660497,5490
wr-person-0233,"Böhme, Edwin",1877-05-13,https://d-nb.info/gnd/117717460,299895
wr-person-0293,"Brausewetter, Ernst",1863-06-02,https://d-nb.info/gnd/118514733,299896
wr-person-0250,"Buet, Charles",1846,https://d-nb.info/gnd/172491991,299899
wr-person-0211,"Chamberlain, Houston Stewart",1855-09-09,https://d-nb.info/gnd/118675508,11086
wr-person-0019,"Chrēstomanos, Kōnstantinos",1867-08-01,https://d-nb.info/gnd/119098067,14971
wr-person-0174,"Chrēstomanos, Kōnstantinos",1867-08-01,https://d-nb.info/gnd/119098067,14971
wr-person-0133,"Christen, Ada",1844-03-06,https://d-nb.info/gnd/119549263,4927
wr-person-0263,"Crane, Walter",1845-08-15,https://d-nb.info/gnd/118522639,116471
wr-person-0061,"D'Annunzio, Gabriele",1863-03-12,https://d-nb.info/gnd/118503243,2142
wr-person-0157,"d’Annunzio, Gabriele",,https://d-nb.info/gnd/118503243,2142
wr-person-0113,Dante,,https://d-nb.info/gnd/118523708,3326
wr-person-0118,"Daudet, Julia Rosalie Céleste",1847-07-13,https://d-nb.info/gnd/123294444,299902
wr-person-0011,"De Amicis, Edmondo",1846-10-21,https://d-nb.info/gnd/118679066,112657
wr-person-0312,"De Quincey, Thomas",1785,https://d-nb.info/gnd/118524747,257926
wr-person-0018,"Dehmel, Richard",,https://d-nb.info/gnd/118679236,11148
wr-person-0240,"Deinhard, Ludwig",1847,https://d-nb.info/gnd/116055367,299905
wr-person-0040,"Delle Grazie, Marie Eugenie",1864-08-01,https://d-nb.info/gnd/118746278,4064
wr-person-0307,"Deussen, Paul, Prof.",,https://d-nb.info/gnd/118671707,3827
wr-person-0089,"Dix, Arthur",1875,https://d-nb.info/gnd/11614579X,299909
wr-person-0021,"Dostojewsky, F. M.",,https://d-nb.info/gnd/118527053,4006
wr-person-0127,"Drachmann, Holger",1846-10-09,https://d-nb.info/gnd/119018934,6855
wr-person-0271,"Drews, Arthur, Prof.",,https://d-nb.info/gnd/116219351,149582
wr-person-0308,"Driesmans, Heinrich",1863,https://d-nb.info/gnd/116223111,3357
wr-person-0149,"Eekhoud, Georg",,https://d-nb.info/gnd/119372908,151936
wr-person-0145,"Egidy, Moritz von",1847-08-29,https://d-nb.info/gnd/11868809X,62405
wr-person-0197,"Ehrhart, Robert von",1870-09-12,https://d-nb.info/gnd/126290911,4326
wr-person-0020,"Elbogen, Friedrich",,https://d-nb.info/gnd/1049479807,11243
wr-person-0172,"Eloesser, Arthur",1870-03-20,https://d-nb.info/gnd/118688839,11250
wr-person-0165,"Emerson, Ralph Waldo",1803-05-25,https://d-nb.info/gnd/118530127,5438
wr-person-0163,"Endell, August",1871-04-12,https://d-nb.info/gnd/118682032,299913
wr-person-0252,"Ephron, Heinrich",,https://d-nb.info/gnd/1021283649,299916
wr-person-0265,"Ephron, Jefim Heinrich",,https://d-nb.info/gnd/126321108,299920
wr-person-0017,"Evers, Franz",,https://d-nb.info/gnd/116611804,182055
wr-person-0047,"Feldegg, Victor",1874,https://d-nb.info/gnd/11643919X,299921
wr-person-0069,"Ferrero, Guglielmo, Prof.",,https://d-nb.info/gnd/118989162,144653
wr-person-0264,"Ferri, Enrico",,https://d-nb.info/gnd/116472766,117388
wr-person-0112,"Ferri, Prof. Enrico",,https://d-nb.info/gnd/116472766,117388
wr-person-0125,"Ferri, Professor Enrico",,https://d-nb.info/gnd/116472766,117388
wr-person-0043,"Fiamingo, Giuseppe",1875,https://d-nb.info/gnd/1228995540,299923
wr-person-0164,Fidus,1868-10-08,https://d-nb.info/gnd/118687077,151568
wr-person-0060,"Forsslund, Carl Erik",,https://d-nb.info/gnd/119103672,299928
wr-person-0298,"Förster-Nietzsche, Elisabeth",1846-07-10,https://d-nb.info/gnd/11853419X,43786
wr-person-0066,"France, Anatole",1844-04-16,https://d-nb.info/gnd/118692445,4279
wr-person-0287,"Froebe, Robert, Dr.",,https://d-nb.info/gnd/1282999702,299933
wr-person-0048,"Frommel, Gaston",1862,https://d-nb.info/gnd/1047604728,299936
wr-person-0049,"Fuchs, Georg",,https://d-nb.info/gnd/118693980,7288
wr-person-0140,"Garborg, Arne",1851-01-25,https://d-nb.info/gnd/11853758X,65071
wr-person-0116,"Garde, Arnold",1871,https://d-nb.info/gnd/11642270X,299940
wr-person-0091,"Gaultier, Jules de",1858,https://d-nb.info/gnd/13397331X,299941
wr-person-0044,"Geijerstam, Gustaf af",1858-01-05,https://d-nb.info/gnd/115657061,7363
wr-person-0131,"Gemberg, Adine",1860-04-28,https://d-nb.info/gnd/116536624,299944
wr-person-0176,"George, Stefan",,https://d-nb.info/gnd/11853856X,2437
wr-person-0226,"Geßmann, Gustav Wilhelm",1860,https://d-nb.info/gnd/117719633,299947
wr-person-0274,"Gorkij, Maxim",,https://d-nb.info/gnd/118639293,2323
wr-person-0256,"Gosse, Edmund",1849,https://d-nb.info/gnd/118696610,158105
wr-person-0203,"Gourmont, Remy de",1858-04-04,https://d-nb.info/gnd/118718320,64948
wr-person-0261,"Graevell, Paul",1856,https://d-nb.info/gnd/116814071,299948
wr-person-0166,"Graf, Dr. Max",,https://d-nb.info/gnd/118697005,11512
wr-person-0260,"Graf, Max",,https://d-nb.info/gnd/118697005,11512
wr-person-0200,"Grävell van Jostenoode, Harald-Arjuna",1856,https://d-nb.info/gnd/127640959,299950
wr-person-0223,"Grävell van Jostenoode, Harald-Arjuna",1856,https://d-nb.info/gnd/127640959,299950
wr-person-0262,"Grävell van Jostenoode, Harald-Arjuna",1856,https://d-nb.info/gnd/127640959,299950
wr-person-0299,"Grävell van Jostenoode, Harald-Arjuna",1856,https://d-nb.info/gnd/127640959,299950
wr-person-0102,"Gregh, Fernand",1873,https://d-nb.info/gnd/118718649,299951
wr-person-0101,"Grossmann, Stefan",,https://d-nb.info/gnd/118542664,11527
wr-person-0249,"Groux, Henri de",1867,https://d-nb.info/gnd/128811919,299954
wr-person-0038,"Guglia, Eugen",1857-08-24,https://d-nb.info/gnd/116920475,11545
wr-person-0254,"Gundolf, Friedrich",1880-06-20,https://d-nb.info/gnd/118543628,3824
wr-person-0221,"Haberfeld, Hugo",,https://d-nb.info/gnd/116349433,3475
wr-person-0215,"Haberlandt, Mich.",,https://d-nb.info/gnd/116350725,96521
wr-person-0186,"Hallström, Per",1866-09-29,https://d-nb.info/gnd/116412925,17759
wr-person-0147,"Hamsun, Knut",1859-08-04,https://d-nb.info/gnd/118545515,11570
wr-person-0023,"Hango, Hermann",1861-05-16,https://d-nb.info/gnd/11645332X,43837
wr-person-0288,"Hardt, Ernst",,https://d-nb.info/gnd/11870155X,11585
wr-person-0183,"Hartmann, Franz",,https://d-nb.info/gnd/118546287,261276
wr-person-0205,"Hartwig, Th.",,https://d-nb.info/gnd/127473998,299957
wr-person-0143,"Hartwig, Theodor J.",,https://d-nb.info/gnd/127473998,299957
wr-person-0306,"Heiberg, Gunnar",,https://d-nb.info/gnd/119361388,65075
wr-person-0191,"Heidenstam, Verner von",1859-07-06,https://d-nb.info/gnd/119112280,182070
wr-person-0180,"Heimann, Moritz",1868-07-19,https://d-nb.info/gnd/118773666,11632
wr-person-0136,"Hello, Ernest",1828-11-04,https://d-nb.info/gnd/119205823,11650
wr-person-0117,"Henckel, W.",,https://d-nb.info/gnd/120598507,299958
wr-person-0154,"Henckell, Karl",1864-04-17,https://d-nb.info/gnd/118835289,7784
wr-person-0085,"Herzfeld, Marie",1855-03-20,https://d-nb.info/gnd/119543559,11666
wr-person-0022,"Hirschfeld, Georg",,https://d-nb.info/gnd/101708122,11701
wr-person-0128,"Hoffmann, Nina",,https://d-nb.info/gnd/1011894475,18390
wr-person-0003,"Hofmannsthal, Hugo von",1874-02-01,https://d-nb.info/gnd/118552759,11740
wr-person-0141,"Hofmannsthal, Hugo von",1874-02-01,https://d-nb.info/gnd/118552759,11740
wr-person-0126,"Holitscher, Arthur",1869-08-22,https://d-nb.info/gnd/118973096,11749
wr-person-0160,"Huch, Ricarda",1864-07-18,https://d-nb.info/gnd/118554190,11780
wr-person-0234,"Huch, Ricarda",1864-07-18,https://d-nb.info/gnd/118554190,11780
wr-person-0169,"Ibsen, Dr. Sigurd",,https://d-nb.info/gnd/117091383,65077
wr-person-0222,"Jacobsen, Rosalia",,https://d-nb.info/gnd/11704718X,299959
wr-person-0016,"Janitschek, Maria",1859-07-23,https://d-nb.info/gnd/117078719,64831
wr-person-0153,"Johnsen, Peter Marcus Gjøe",1857,https://d-nb.info/gnd/1139669583,299960
wr-person-0109,"Karasek, Jiri",,https://d-nb.info/gnd/11924196X,299963
wr-person-0294,"Kassner, Rudolf",1873-11-09,https://d-nb.info/gnd/118560492,5096
wr-person-0310,"Key, Ellen",,https://d-nb.info/gnd/11893449X,11919
